"SOORT PRIMAIR ONDERWIJS","BEVOEGD GEZAG NUMMER","BEVOEGD GEZAG NAAM","STRAATNAAM","HUISNUMMER-TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM CORRESPONDENTIEADRES","HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES","POSTCODE CORRESPONDENTIEADRES","PLAATSNAAM CORRESPONDENTIEADRES","ADMINISTRATIEKANTOORNUMMER","KVK-NUMMER"
"(V)SO","20233","Stichting Onderwijscentrum Leijpark","Professor Stoltehof","1","5022KE","TILBURG","0855","TILBURG","Rooms-Katholiek","","","Postbus","5022","5004EA","TILBURG","401","41096630"
"(V)SO","21657","Stichting Vitus Zuid","Toledolaan","3","5629CC","EINDHOVEN","0772","EINDHOVEN","Algemeen bijzonder","0402902345","www.taalbrug.nl","Toledolaan","3","5629CC","EINDHOVEN","413","59130423"
"(V)SO","21679","Stichting VierTaal","Jan Sluijtersstraat","3","1062CJ","AMSTERDAM","0363","AMSTERDAM","Openbaar","0206698194","www.viertaal.nl","Postbus","59264","1040KG","AMSTERDAM","780","58402896"
"(V)SO","24922","Stichting Altra","Rode Kruisstraat","32","1025KN","AMSTERDAM","0363","AMSTERDAM","Algemeen bijzonder","0205558333","www.altra.nl","Rode Kruisstraat","32","1025KN","AMSTERDAM","038","41211784"
"(V)SO","25859","Stichting Attendiz","Welbergweg","20","7556PE","HENGELO OV","0164","HENGELO","Algemeen bijzonder","0880103600","www.attendiz.nl","Postbus","8105","7550KC","HENGELO OV","949","41029242"
"(V)SO","26132","Stichting Herman Broeren","Keulsebaan","508","6045GL","ROERMOND","0957","ROERMOND","Algemeen bijzonder","0475321980","www.hermanbroeren.nl","Keulsebaan","508","6045GL","ROERMOND","401","41067581"
"(V)SO","27445","Stichting Tyltylschool de Maasgouw Maastricht","Bemelergrubbe","5","6226NK","MAASTRICHT","0935","MAASTRICHT","Rooms-Katholiek","0436018181","","Postbus","4259","6202WC","MAASTRICHT","401","41076208"
"(V)SO","30605","Stichting Zozijn Daniël de Brouwerschool","Lathmerweg","4","7384AN","WILP GLD","0285","VOORST","Rooms-Katholiek","0571261411","www.danieldebrouwerschool.nl","Lathmerweg","4","7384AN","WILP GLD","780","08129757"
"(V)SO","30866","Stichting Zonnehuizen","Utrechtseweg","69","3704HB","ZEIST","0355","ZEIST","Algemeen bijzonder","0306955588","","Postbus","99","3700AB","ZEIST","",""
"(V)SO","30882","Stichting Eduvier Onderwijsgroep","De Schans","1901","8231KM","LELYSTAD","0995","LELYSTAD","Algemeen bijzonder","0320252378","www.eduvier.nl","Postbus","2344","8203AH","LELYSTAD","606","41023804"
