ONDERWIJSSECTOR,JAAR,BRIN_NUMMER,INSTELLINGSNAAM,MAATWERKAFSPRAAK_FORMATIE_OP_LA,MAATWERKAFSPRAAK_FORMATIE_OP_LB,MAATWERKAFSPRAAK_FORMATIE_OP_LC,MAATWERKAFSPRAAK_FORMATIE_OP_LD,MAATWERKAFSPRAAK_FORMATIE_OP_LE,MAATWERKAFSPRAAK_FORMATIE_OP_OVERIG,DATUM_MAATWERKAFSPRAAK,TOELICHTING_MAATWERKAFSPRAAK
3,2014,"00AH","Opb SGM t Stedelijk Lyceum",0,43,29,28,0,0,2015-05-26,""
3,2014,"00BD","Coenecoop College",0,15,42,43,0,0,2014-12-18,""
3,2014,"00EF","Hubertus & Berkhoff",0,31,47,19,0,0,2014-12-17,""
3,2014,"00HI","SGM Dalton Vatel",0,27,42,31,0,0,2014-12-22,""
3,2014,"00IP","Kath SGM Hoofddorp",0,38,31,28,0,0,2014-08-26,""
3,2014,"00KV","KSE 00KV",0,41,21,38,0,0,2014-07-10,""
3,2014,"00LJ","Chr Coll Schaersvoorde",0,52,22,26,0,0,2014-09-29,""
3,2014,"00MK","Kath SGM De Breul",0,27,38,35,0,0,2014-10-03,""
3,2014,"00NE","J v Br College vest Deltaweg",0,65,35,0,0,0,2014-10-14,""
3,2014,"00OB","Maaswaal College",0,50,31,19,0,0,2014-10-13,""
3,2014,"00PG","Wartburg College",0,30,48,22,0,0,2014-07-15,""
3,2014,"00PS","AT Scholen VO",0,39,35,26,0,0,2014-10-08,""
3,2014,"00RO","Amadeus Lyceum",0,23,38,39,0,0,2015-07-15,""
3,2014,"00SZ","Joh Fontanus College",0,49,20,31,0,0,2015-01-13,""
3,2014,"00TL","Het Nieuwe Lyceum",0,16,35,49,0,0,2014-10-02,""
3,2014,"00TU","Geref SGM Randstad",0,25,44,31,0,0,2015-01-13,""
3,2014,"00UM","Erfgooiers College",0,26,40,32,0,0,2015-03-12,""
3,2014,"00UZ","Fioretti College",0,28,46,26,0,0,2014-07-17,""
3,2014,"00VR","St.- Jozefmavo",0,56,42,2,0,0,2015-02-06,""
3,2014,"00VY","RK SGM Cals College",0,33,50,15,0,0,2014-10-07,""
3,2014,"00WD","sg Panta Rhei",0,31,50,19,0,0,2015-05-28,""
3,2014,"00WH","Gomarusschool s.g.",0,42,37,21,0,0,2014-09-08,""
3,2014,"00WI","Chr. College Groevenbeek",0,44,31,25,0,0,2015-03-05,""
3,2014,"00XA","Trinitas College",0,50,23,27,0,0,2014-10-01,""
3,2014,"00XK","Veurs College",0,32,48,20,0,0,2014-12-22,""
3,2014,"00YH","C S De Hoven",0,41,41,18,0,0,2015-02-11,""
3,2014,"00ZD","Bonhoeffer College",0,48,15,37,0,0,2014-09-11,""
3,2014,"00ZO","ISG Arcus",0,49,20,31,0,0,2014-10-14,""
3,2014,"00ZV","Lauwers College",0,61,21,18,0,0,2014-10-08,""
3,2014,"00ZX","Dockingacollege",0,55,22,22,0,0,2014-07-07,""
3,2014,"01BE","C.S.G Ulbe Van Houten",0,74,17,9,0,0,2015-01-19,""
3,2014,"01EK","Kranenburg",0,35,65,0,0,0,2015-06-18,""
3,2014,"01ET","St Ignatiusgymnasium",0,5,30,65,0,0,2014-09-29,""
3,2014,"01FU","Nuborgh College",0,52,22,26,0,0,2016-06-24,""
3,2014,"01GL","Sophianum SGM i h Heuvelland",0,41,33,26,0,0,2014-10-13,""
3,2014,"01GN","Valuascollege",0,44,31,25,0,0,2015-03-23,""
3,2014,"01GV","Mavoschool Sancta Maria",0,66,34,0,0,0,2014-10-13,""
3,2014,"01GX","Chr Lyceum Delft",0,22,52,26,0,0,2015-10-07,""
3,2014,"01IW","Dongemond College",0,52,28,20,0,0,2015-02-24,""
3,2014,"01KF","St Gregorius College",0,6,47,47,0,0,2014-07-23,""
3,2014,"01LZ","SGM Eerste Chr Lyc VWO",0,18,41,41,0,0,2014-05-20,""
3,2014,"01MB","RK Alfrink College SGM",0,2,52,46,0,0,2015-01-28,""
3,2014,"01MO","Atheneum Trevianum",0,35,20,45,0,0,2014-09-29,""
3,2014,"01NZ","Griftland College",0,27,40,33,0,0,2014-10-10,""
3,2014,"01VN","Canisius College",0,43,33,24,0,0,2015-02-12,""
3,2014,"01XL","Strabrechtcollege",0,44,28,28,0,0,2014-10-01,""
3,2014,"01XN","Almere College",0,49,31,20,0,0,2014-11-13,""
3,2014,"02AN","Fons Vitae Lyceum",0,10,28,62,0,0,2014-09-29,""
3,2014,"02AP","Het Amsterdams Lyceum",0,5,57,38,0,0,2014-07-15,""
