ONDERWIJSSECTOR,JAAR,BEVOEGD_GEZAGNUMMER,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_BESTUUROMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL
3,2006,10028,"Gemeente Ameland",9162,1,156,1,0,0,0,10.9,0,0,0,0,0,0,0,19.2,1,15.2,0,3,0,10.3, ,0,15.2,0,0,0,0,0,100,0,0,0,0, , , , , , ,15.19,45034.01,2964.71
3,2007,10028,"Gemeente Ameland",9162,1,158,1,0,0,0,12.7,0,0,0,0,0,0,0,19,1,15,0,3,0,10.5, ,0,15,0,0,0,0,0,100,0,0,0,0, , , , , , ,15.03,46587.12,3100.64
3,2008,10028,"Gemeente Ameland",9162,1,167,1,0,0,0,15,0,0,0,0,0,0,0,19.8,1,15.3,0,3.4,0,10.9, ,0,15.3,0,0,0,0,0,100,0,0,0,0, , , , , , ,15.34,47495.05,3096.96
3,2009,10028,"Gemeente Ameland",9162,1,161,1,0,0,0,19.9,0,0,0,0,0,0,0,19.5,1,14.3,.3,3.9,0,11.3, ,0,14.3,0,0,0,0,0,100,0,0,0,0, , , , , , ,14.3,47704.87,3336.94
3,2010,10028,"Gemeente Ameland",9162,1,173,1,0,0,0,19.1,0,0,0,0,0,0,0,19.8,1,14.9,0,3.9,0,11.6, ,0,14.9,0,0,0,0,0,100,0,0,0,0, , , , , , ,14.88,50340.33,3383.2
3,2011,10028,"Gemeente Ameland",9162,1,174,1,0,0,0,21.8,0,0,0,0,0,0,0,22.3,1,17.2,0,4.1,0,10.1, ,0,13.2,4,0,0,0,0,76.8,23.2,0,0,0, , , , , , ,17.22,57859.53,3359.73
3,2012,10028,"Gemeente Ameland",9162,1,177,1,0,0,0,19.8,0,0,0,0,0,0,0,20.7,2,15.1,0,3.6,0,11.7, ,0,9.6,5.5,0,0,0,0,63.4,36.6,0,0,0, , , , , , ,15.08,52989.29,3512.95
3,2013,10028,"Gemeente Ameland",9162,1,180,1,0,0,0,17.2,0,0,0,0,0,0,0,20.9,1,15.3,0,4.6,0,11.8, ,0,9.7,5.5,0,0,0,0,63.8,36.2,0,0,0, , , , , , ,15.25,55616.9,3646.05
3,2014,10028,"Gemeente Ameland",9162,1,166,1,0,0,0,18.7,0,0,0,0,0,0,0,20.7,1,15.3,0,4.3,0,10.8, ,0,9.7,5.6,0,0,0,0,63.3,36.7,0,0,0,0,79,10,11,0,0,15.33,58565.98,3819.35
3,2015,10028,"Gemeente Ameland",9162,1,160,1,0,0,0,14.4,0,0,0,0,0,0,0,21.4,1,16,0,4.4,0,10, ,0,9.5,6.4,0,0,0,0,59.8,40.2,0,0,0, , , , , , ,15.97,62088.66,3888
