ONDERWIJSSECTOR,JAAR,BRIN_NUMMER,INSTELLINGSNAAM,POSTCODE_SCHOOL,RPA_GEBIEDCODE,RANDSTAD,GEMEENTENAAM,SCHOOLTYPE,SCHOOLSOORT,VERTICALE_SCHOLENGEMEENSCHAP,BEVOEGD_GEZAGNUMMER,BEVOEGD_GEZAGNAAM,POSTCODE_BEVOEGD_GEZAG,EENPITTER,AANTAL_LEERLINGEN,CATEGORIE_SCHOOLOMVANG,AANTAL_GEWICHTLEERLINGEN,GEMIDDELD_LEERLINGGEWICHT,AANDEEL_APCG_LEERLINGEN,AANDEEL_LWOO_LEERLINGEN,AANTAL_VOLTIJDLEERLINGEN,AANTAL_DEELTIJDLEERLINGEN,AANTAL_LEERLINGEN_VBO_GROEN,AANTAL_BOL_LEERLINGEN,AANTAL_BOL_DEELTIJDLEERLINGEN,AANTAL_BBL_LEERLINGEN,AANDEEL_LEERLINGEN_RANDSTAD,OMVANG_FORMATIE_TOTAAL,OMVANG_FORMATIE_MANAGER,OMVANG_FORMATIE_OP,OMVANG_FORMATIE_LIO,OMVANG_FORMATIE_OOP_OBP,OMVANG_FORMATIE_ONBEKEND,LEERLING_LERAAR_RATIO,GEWOGEN_DEELNEMER_LERAAR_RATIO,OMVANG_FORMATIE_OP_LA,OMVANG_FORMATIE_OP_LB,OMVANG_FORMATIE_OP_LC,OMVANG_FORMATIE_OP_LD,OMVANG_FORMATIE_OP_LE,OMVANG_FORMATIE_OP_OVERIG,AANDEEL_FORMATIE_OP_LA,AANDEEL_FORMATIE_OP_LB,AANDEEL_FORMATIE_OP_LC,AANDEEL_FORMATIE_OP_LD,AANDEEL_FORMATIE_OP_LE,AANDEEL_FORMATIE_OP_OVERIG,STREEFPERCENTAGE_FORMATIE_OP_LA,STREEFPERCENTAGE_FORMATIE_OP_LB,STREEFPERCENTAGE_FORMATIE_OP_LC,STREEFPERCENTAGE_FORMATIE_OP_LD,STREEFPERCENTAGE_FORMATIE_OP_LE,STREEFPERCENTAGE_FORMATIE_OP_OVERIG,OMVANG_FORMATIE_OP_BRUTSAL,LOONSOM_OP_BRUTSAL,GEMIDDELDE_LOONSOM_OP_BRUTSAL
3,2006,"00AH","Opb SGM t Stedelijk Lyceum",7522,7,0,"ENSCHEDE","vmbo/havo/vwo","VOS",0,41804,"Stichting Het Stedelijk Lyceum Enschede",7541,1,4015,6,0, ,40.4,19,0,0,0,0,0,0,0,447.8,26.6,309.7,.2,111.2,0,13, ,0,185.1,66,58.6,0,0,0,59.7,21.3,18.9,0,0, , , , , , ,310,1025633,3311
3,2007,"00AH","Opb SGM t Stedelijk Lyceum",7522,7,0,"ENSCHEDE","vmbo/havo/vwo","VOS",0,41804,"Stichting Het Stedelijk Lyceum Enschede",7541,1,3847,6,0, ,53.2,17.1,0,0,0,0,0,0,0,431,22.5,300.4,0,108.1,0,12.8, ,0,169.7,69.7,61.1,0,0,0,56.5,23.2,20.3,0,0, , , , , , ,300,1042191,3469
3,2008,"00AH","Opb SGM t Stedelijk Lyceum",7522,7,0,"ENSCHEDE","vmbo/havo/vwo","VOS",0,41804,"Stichting Het Stedelijk Lyceum Enschede",7541,1,3865,6,0, ,53.8,14.4,0,0,0,0,0,0,0,417.8,17.5,293.2,0,107.1,0,13.2, ,0,170.4,64.1,58.7,0,0,0,58.1,21.8,20,0,0, , , , , , ,293,1023859,3492
3,2009,"00AH","Opb SGM t Stedelijk Lyceum",7522,7,0,"ENSCHEDE","vmbo/havo/vwo","VOS",0,41804,"Stichting Het Stedelijk Lyceum Enschede",7541,1,3778,6,0, ,61.8,15.1,0,0,0,0,0,0,0,410.3,10.6,300.4,0,99.3,0,12.6, ,0,177.8,61.1,61.5,0,0,0,59.2,20.3,20.5,0,0, , , , , , ,300,1124511,3743
3,2010,"00AH","Opb SGM t Stedelijk Lyceum",7522,7,0,"ENSCHEDE","vmbo/havo/vwo","VOS",0,41804,"Stichting Het Stedelijk Lyceum Enschede",7541,1,3703,6,0, ,60.7,14.1,0,0,0,0,0,0,0,382.8,7.6,283.9,0,91.3,0,13, ,0,159.7,61.1,61.4,0,1.7,0,56.3,21.5,21.6,0,.6, , , , , , ,284,1093662,3852
3,2011,"00AH","Opb SGM t Stedelijk Lyceum",7522,7,0,"ENSCHEDE","vmbo/havo/vwo","VOS",0,41804,"Stichting Het Stedelijk Lyceum Enschede",7541,1,3557,6,0, ,60,12.9,0,0,0,0,0,0,0,361.6,6.6,261,1,93,0,13.6, ,0,134.4,61.3,65.2,0,0,0,51.5,23.5,25,0,0, , , , , , ,261,1020784,3911
3,2012,"00AH","Opb SGM t Stedelijk Lyceum",7522,7,0,"ENSCHEDE","vmbo/havo/vwo","VOS",0,41804,"Stichting Het Stedelijk Lyceum Enschede",7541,1,3544,6,0, ,47.9,12.3,0,0,0,0,0,0,0,338.8,8.9,248.5,.2,81.2,0,14.3, ,0,122.9,57.4,67.2,1,0,0,49.4,23.1,27,.4,0, , , , , , ,249,991970,3992
3,2013,"00AH","Opb SGM t Stedelijk Lyceum",7522,7,0,"ENSCHEDE","vmbo/havo/vwo","VOS",0,41804,"Stichting Het Stedelijk Lyceum Enschede",7541,1,3429,6,0, ,49.2,12.8,0,0,0,0,0,0,0,323.8,8.7,235.9,0,79.2,0,14.5, ,0,117,54.8,63.1,1,0,0,49.6,23.2,26.7,.4,0, , , , , , ,236,959273,4067
3,2014,"00AH","Opb SGM t Stedelijk Lyceum",7522,7,0,"ENSCHEDE","vmbo/havo/vwo","VOS",0,41804,"Stichting Het Stedelijk Lyceum Enschede",7541,1,3284,6,0, ,49.4,13.6,0,0,0,0,0,0,0,310.2,7.9,228.1,0,74.3,0,14.4, ,0,110.9,49.9,66.2,1,0,0,48.6,21.9,29,.4,0,0,37.1,31.8,31,0,0,228,948968,4161
3,2015,"00AH","Opb SGM t Stedelijk Lyceum",7522,7,0,"ENSCHEDE","vmbo/havo/vwo","VOS",0,41804,"Stichting Het Stedelijk Lyceum Enschede",7541,1,3335,6,0, ,48.6,15,0,0,0,0,0,0,0,305,7.9,223.1,0,73.9,0,14.9, ,0,107.7,51.5,63,1,0,0,48.2,23.1,28.2,.4,0, , , , , , ,223,936793,4199
