"owis","site"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00AH","http://www.hetstedelijk.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00AP","http://www.gbswereldwijs.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00AQ","http://www.zwincollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00AR","http://www.bsdemaasparel.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00AV","http://www.gbsdemorgenster.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00BA","http://www.obsdeklimboom.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00BB","http://www.obsletterwies.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00BD","http://www.coenecoopcollege.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00BS","http://www.planthof.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00BW","http://www.jpsdevlieger.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00BZ","http://www.hetspeelwerk.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00CB","http://www.kgcnijmegen.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00CD","http://www.bsdelockaert.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00CG","http://www.obsharlekijn.net"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00CU","http://www.zilverlinde.nu"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00CV","http://www.schoolmatthijsje.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00DA","http://www.betrouwen.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00DD","http://www.startnest.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00DI","http://www.rsgdeborgen.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00DN","http://www.obsdebundeling.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00DO","http://www.rijckevorselschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00DV","http://www.pthu.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00DX","http://www.vrijeschoolassen.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00DY","http://www.hetsterrenlicht.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00DZ","http://www.agnietenschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00EB","http://www.hettelraam.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00EF","http://www.hubertusberkhoff.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00EI","http://www.groenvanprinstererklaaswaal.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00EM","http://www.dewijngaardsbo.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00FE","http://www.gbsdehalm.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00FG","http://www.gbstriangel.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00FI","http://www.pork.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00FQ","http://www.montessorischooldekraal.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00GR","http://www.gbskristal.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00GV","http://www.mariavs.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00GX","http://www.jacobusschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00GZ","http://www.mbsdefontein.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00HH","http://www.devliete.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00HI","http://www.daltonvoorburg.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00HZ","http://www.klavertje4oudewater.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00IC","http://www.kpz.nl/"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00IF","http://www.heilighartschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00IH","http://www.de-horizon.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00IJ","http://www.schaapskooi-ikt.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00IM","http://www.joosvanlarenschool.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00IP","http://www.ksghoofddorp.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00JH","http://www.sbodekameleon.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00JR","http://www.spieringshoek.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00JT","http://www.guido.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00JX","http://www.sbo-wending.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00KK","http://www.kiem.spon.nu"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00KM","http://www.attendiz.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00KU","http://www.windrooslindenholt.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00KV","http://www.k-s-e.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00KX","http://www.hermanbroeren.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00KZ","http://www.sbozilverlicht.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00LD","http://www.schoollyndensteyn.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00LH","http://www.pwaveldhoven.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00LJ","http://www.schaersvoorde.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00LS","http://www.sbo-palet.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00LY","http://www.zsc.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00MF","http://www.hku.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00MI","http://www.sbo-depiramide.nl"
"http://lod.duo.nl/rio/id/erkendeonderwijsinstelling/00MK","http://www.de-breul.nl"
