"SOORT PRIMAIR ONDERWIJS","PROVINCIE","BEVOEGD GEZAG NUMMER","BRIN NUMMER","VESTIGINGSNUMMER","VESTIGINGSNAAM","STRAATNAAM","HUISNUMMER-TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","CLUSTER","ONDERWIJS","STRAATNAAM CORRESPONDENTIEADRES","HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES","POSTCODE CORRESPONDENTIEADRES","PLAATSNAAM CORRESPONDENTIEADRES","NODAAL GEBIED CODE","NODAAL GEBIED NAAM","RPA-GEBIED CODE","RPA-GEBIED NAAM","WGR-GEBIED CODE","WGR-GEBIED NAAM","COROPGEBIED CODE","COROPGEBIED NAAM","ONDERWIJSGEBIED CODE","ONDERWIJSGEBIED NAAM","RMC-REGIO CODE","RMC-REGIO NAAM"
"(V)SO","Drenthe","10249","00SU","00SU00","Openbare School voor Zeer Moeilijk Lerende Kinderen te Emmen","Zuidlaarderbrink","4","7812GE","EMMEN","0114","EMMEN","Openbaar","0591652190","www.zml-triantaschool.nl","3","SO ZMLK + VSO ZMLK","Zuidlaarderbrink","4","7812GE","EMMEN","12","Emmen","05","Zuid- en Midden-Drenthe","08","Zuidoost-Drenthe","08","Zuidoost-Drenthe","04","Assen-Hoogeveen-Emmen","08","Zuid-Oost Drenthe"
"(V)SO","Drenthe","41414","06SV","06SV00","De Aventurijn","Witterhoofdweg","1-G","9405HX","ASSEN","0106","ASSEN","Algemeen bijzonder","0592414508","www.renn4.nl","4","SO LZ/P + VSO LZ/P + RP-SO LZ/P + RP-VSO LZ/P","Witterhoofdweg","1-G","9405HX","ASSEN","11","Assen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"(V)SO","Drenthe","41414","06SV","06SV09","De Aventurijn","Reviusweg","1","7901JN","HOOGEVEEN","0118","HOOGEVEEN","Algemeen bijzonder","0528278722","www.renn4.nl","4","SO LZ/P + VSO LZ/P + RP-SO LZ/P + RP-VSO LZ/P","Postbus","8091","9702KB","GRONINGEN","14","Hoogeveen","05","Zuid- en Midden-Drenthe","09","Zuidwest-Drenthe","09","Zuidwest-Drenthe","04","Assen-Hoogeveen-Emmen","09","Zuid-West Drenthe"
"(V)SO","Drenthe","41414","06SV","06SV11","De Aventurijn","Sparrenlaan","4","7822EM","EMMEN","0114","EMMEN","Algemeen bijzonder","","","4","SO LZ/P + VSO LZ/P + RP-SO LZ/P + RP-VSO LZ/P","","","","","12","Emmen","05","Zuid- en Midden-Drenthe","08","Zuidoost-Drenthe","08","Zuidoost-Drenthe","04","Assen-Hoogeveen-Emmen","08","Zuid-Oost Drenthe"
"(V)SO","Drenthe","41414","06SV","06SV12","De Aventurijn","Fazantenlaan","1","9422EZ","SMILDE","1731","MIDDEN-DRENTHE","Algemeen bijzonder","","","4","SO LZ/P + VSO LZ/P","","","","","11","Assen","05","Zuid- en Midden-Drenthe","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"(V)SO","Drenthe","41414","16QX","16QX00","G.J. van der Ploegschool","van Goghlaan","3","7901GK","HOOGEVEEN","0118","HOOGEVEEN","Algemeen bijzonder","0528266173","www.renn4.nl","3","SO ZMLK + VSO ZMLK","van Goghlaan","3","7901GK","HOOGEVEEN","14","Hoogeveen","05","Zuid- en Midden-Drenthe","09","Zuidwest-Drenthe","09","Zuidwest-Drenthe","04","Assen-Hoogeveen-Emmen","09","Zuid-West Drenthe"
"(V)SO","Drenthe","41414","16QX","16QX01","de Windroos","Voltastraat","27","7903AA","HOOGEVEEN","0118","HOOGEVEEN","Algemeen bijzonder","","","3","SO ZMLK + VSO ZMLK","Voltastraat","27","7903AA","HOOGEVEEN","14","Hoogeveen","05","Zuid- en Midden-Drenthe","09","Zuidwest-Drenthe","09","Zuidwest-Drenthe","04","Assen-Hoogeveen-Emmen","09","Zuid-West Drenthe"
"(V)SO","Drenthe","41629","19SK","19SK00","Openbare Mackayschool voor ZML","Colijnstraat","4","7942BH","MEPPEL","0119","MEPPEL","Openbaar","0522251982","www.mackayschool.nl","3","SO ZMLK + VSO ZMLK","Colijnstraat","4","7942BH","MEPPEL","15","Meppel","05","Zuid- en Midden-Drenthe","09","Zuidwest-Drenthe","09","Zuidwest-Drenthe","05","Zwolle-Meppel en omstreken","09","Zuid-West Drenthe"
"(V)SO","Drenthe","42719","20BG","20BG00","W A van`` Lieflandschool","Witterhoofdweg","1-G","9405HX","ASSEN","0106","ASSEN","Openbaar","0592820650","www.so-liefland-assen.nl","3","SO ZMLK + VSO ZMLK","Witterhoofdweg","1-G","9405HX","ASSEN","11","Assen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"(V)SO","Drenthe","54679","17GW","17GW18","Kentalis Guyotschool voor SOVSO-B","Veenweg","20","9481TJ","VRIES","1730","TYNAARLO","Algemeen bijzonder","0506331970","","2","SO DOBLN,DOVN,ESM,MGA,MGB,SH + VSO DOBLN,DOVN,MGA,MGB,SH","Rijksstraatweg","63-B","9752AC","HAREN GN","01","Groningen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","01","Groningen en omstreken","07","Noord- en Midden Drenthe"
