"PROVINCIE","BEVOEGD GEZAG NUMMER","BRIN NUMMER","VESTIGINGSNUMMER","VESTIGINGSNAAM","STRAATNAAM","HUISNUMMER-TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","ONDERWIJSSTRUCTUUR","STRAATNAAM CORRESPONDENTIEADRES","HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES","POSTCODE CORRESPONDENTIEADRES","PLAATSNAAM CORRESPONDENTIEADRES","NODAAL GEBIED CODE","NODAAL GEBIED NAAM","RPA-GEBIED CODE","RPA-GEBIED NAAM","WGR-GEBIED CODE","WGR-GEBIED NAAM","COROPGEBIED CODE","COROPGEBIED NAAM","ONDERWIJSGEBIED CODE","ONDERWIJSGEBIED NAAM","RMC-REGIO CODE","RMC-REGIO NAAM"
"Drenthe","10053","18BR","18BR00","School voor Praktijkonderwijs Assen","Zwartwatersweg","202","9406NN","ASSEN","0106","ASSEN","Openbaar","0592340973","www.pro-assen.nl","PRO","Zwartwatersweg","202","9406NN","ASSEN","11","Assen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"Drenthe","10053","18BR","18BR01","School voor Praktijkonderwijs Assen","Bosrand","2","9401SL","ASSEN","0106","ASSEN","Openbaar","","","PRO","Zwartwatersweg","202","9406NN","ASSEN","11","Assen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"Drenthe","13273","20LO","20LO00","Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo","Mr Groen v Prinstererln","98","9402KG","ASSEN","0106","ASSEN","Openbaar","0592333111","www.dr.nassaucollege.nl","VBO/HAVO/VWO","Postbus","186","9400AD","ASSEN","11","Assen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"Drenthe","13273","20LO","20LO01","Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo","Schoolstraat","1","9331AV","NORG","1699","NOORDENVELD","Openbaar","0592675750","","VBO/MAVO","Postbus","186","9400AD","ASSEN","01","Groningen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","01","Groningen en omstreken","07","Noord- en Midden Drenthe"
"Drenthe","13273","20LO","20LO02","Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo","Esdoornlaan","2","9411AV","BEILEN","1731","MIDDEN-DRENTHE","Openbaar","0593538160","","VBO/MAVO","Postbus","186","9400AD","ASSEN","11","Assen","05","Zuid- en Midden-Drenthe","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"Drenthe","13273","20LO","20LO03","Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo","Stokleggingslaan","17","9461CC","GIETEN","1680","AA EN HUNZE","Openbaar","0592261983","","VBO/MAVO","Postbus","186","9400AD","ASSEN","11","Assen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"Drenthe","13273","20LO","20LO04","Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo","Industrieweg","3","9402NP","ASSEN","0106","ASSEN","Openbaar","0592333160","","VBO/MAVO","Postbus","186","9400AD","ASSEN","11","Assen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"Drenthe","13273","20LO","20LO08","Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo","Echtenstraat","3","9402JA","ASSEN","0106","ASSEN","Openbaar","","","VBO/MAVO","Postbus","186","9400AD","ASSEN","11","Assen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"Drenthe","13273","20LO","20LO09","Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo","A.H.G. Fokkerstraat","9","9403AM","ASSEN","0106","ASSEN","Openbaar","0592333160","","VBO","Postbus","186","9400AD","ASSEN","11","Assen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"Drenthe","13273","20LO","20LO10","Openbare Scholengemeenschap Dr Nassau College voor Vwo Havo Mavo Vbo Lwoo","Merwedestraat","14","9406RM","ASSEN","0106","ASSEN","Openbaar","0592333176","","VBO","Postbus","186","9400AD","ASSEN","11","Assen","03","Centraal-Groningen","07","Noord- en Midden-Drenthe","07","Noord-Drenthe","04","Assen-Hoogeveen-Emmen","07","Noord- en Midden Drenthe"
"Drenthe","13737","06DT","06DT00","School voor Praktijkonderwijs De Meander","Wolfsbosstraat","7-A","7905BZ","HOOGEVEEN","0118","HOOGEVEEN","Openbaar","0528234862","www.demeanderprohoogeveen.nl","PRO","Wolfsbosstraat","7-A","7905BZ","HOOGEVEEN","14","Hoogeveen","05","Zuid- en Midden-Drenthe","09","Zuidwest-Drenthe","09","Zuidwest-Drenthe","04","Assen-Hoogeveen-Emmen","09","Zuid-West Drenthe"
